cache_policy_short	cache_percentage	batch_size	unsupervised	dataset_short	sample_type_short	pipeline	Step(average) L1 sample	Step(average) L1 recv	Step(average) L2 feat copy	Step(average) L1 train total	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate	train_process_time	epoch_time:train_total	epoch_time:copy_time
Rep_2	3.000000	4000	True	PR	3HopRnd	False	0.013553	0.004601	0.209305	0.056320	0.000144	0.000003	0.061220	5.323960	0.000000	94.676040	0.053248	0.000000	0.946752	190.022786	0.000000	7.948408	0.027363	0.000000	0.486602	0.030000	0.000000	0.030000	45.1287	9.405500	35.723200
Coll_2	3.000000	4000	True	PR	3HopRnd	False	0.013516	0.004596	0.199075	0.056438	0.000145	0.000734	0.057522	5.101750	7.948089	86.950161	0.051037	0.079496	0.869467	180.832435	55.653419	7.768937	0.026221	0.040850	0.446885	0.030000	0.045753	0.075752	43.4388	9.425100	34.013700
Cliq_2	4.000000	4000	True	PR	3HopRnd	False	0.013580	0.004617	0.182260	0.056101	0.000185	0.003430	0.051776	7.026277	14.052555	78.921168	0.070288	0.140576	0.789136	195.206926	21.057307	7.834417	0.036113	0.072227	0.405635	0.040000	0.080000	0.120000	40.5783	9.368900	31.209400
Rep_2	4.000000	4000	True	PR	3HopRnd	False	0.013549	0.004608	0.213192	0.056203	0.000178	0.000002	0.062565	7.096039	0.000000	92.903961	0.070983	0.000000	0.929017	204.913536	0.000000	7.632687	0.036475	0.000000	0.477539	0.040000	0.000000	0.040000	45.7593	9.386000	36.373300
Coll_2	4.000000	4000	True	PR	3HopRnd	False	0.013547	0.004609	0.180726	0.056545	0.000185	0.001172	0.052276	6.873029	13.846768	79.280204	0.068726	0.138506	0.792769	190.931166	60.718523	7.794043	0.035322	0.071162	0.407441	0.040000	0.079999	0.119999	40.3947	9.443000	30.951700
Cliq_2	6.000000	4000	True	PR	3HopRnd	False	0.013576	0.004609	0.160418	0.056057	0.000258	0.005060	0.044808	10.396397	20.794694	68.808908	0.103994	0.207988	0.688019	207.084242	21.119612	7.891744	0.053428	0.106865	0.353613	0.060000	0.119999	0.179999	36.9217	9.361400	27.560300
Rep_2	6.000000	4000	True	PR	3HopRnd	False	0.013547	0.004595	0.202462	0.056398	0.000256	0.000002	0.059558	10.633123	0.000000	89.366877	0.106346	0.000000	0.893654	213.470459	0.000000	7.711758	0.054648	0.000000	0.459297	0.060000	0.000000	0.060000	43.9979	9.418400	34.579500
Coll_2	6.000000	4000	True	PR	3HopRnd	False	0.013518	0.004605	0.160127	0.056215	0.000260	0.001901	0.045790	10.265813	20.704528	69.029659	0.102693	0.207113	0.690194	202.937200	55.978967	7.748306	0.052764	0.106416	0.354795	0.059999	0.119999	0.179998	36.8990	9.387900	27.511100
Cliq_2	8.000000	4000	True	PR	3HopRnd	False	0.013538	0.004601	0.141906	0.056189	0.000324	0.006617	0.038777	13.620296	27.240593	59.139111	0.136215	0.272429	0.591356	216.019242	21.154673	7.837029	0.069990	0.139980	0.303896	0.080000	0.160000	0.240000	33.8510	9.383600	24.467400
Rep_2	8.000000	4000	True	PR	3HopRnd	False	0.013556	0.004600	0.194745	0.056417	0.000328	0.000002	0.056680	14.144043	0.000000	85.855957	0.141499	0.000000	0.858501	221.661824	0.000000	7.786311	0.072705	0.000000	0.441328	0.080000	0.000000	0.080000	42.7131	9.421600	33.291500
Coll_2	8.000000	4000	True	PR	3HopRnd	False	0.013564	0.004604	0.141497	0.056321	0.000321	0.002287	0.040253	13.414402	27.281018	59.304579	0.134182	0.272916	0.592902	214.782905	61.309508	7.572223	0.068945	0.140215	0.304805	0.079977	0.159998	0.239975	33.8052	9.405500	24.399700
Cliq_2	10.000000	4000	True	PR	3HopRnd	False	0.013523	0.004601	0.124313	0.056010	0.000385	0.008089	0.033288	16.661916	33.325733	50.012351	0.166676	0.333352	0.499973	222.427963	21.174347	7.721732	0.085635	0.171279	0.257041	0.100000	0.199999	0.299999	30.8832	9.353700	21.529500
Rep_2	10.000000	4000	True	PR	3HopRnd	False	0.013554	0.004610	0.191651	0.056260	0.000399	0.000003	0.055996	17.627724	0.000000	82.372276	0.176350	0.000000	0.823650	227.081375	0.000000	7.561052	0.090605	0.000000	0.423389	0.100000	0.000000	0.100000	42.1719	9.395500	32.776400
Coll_2	10.000000	4000	True	PR	3HopRnd	False	0.013547	0.004620	0.118494	0.056169	0.000380	0.003059	0.033061	16.328780	33.449868	50.221352	0.163348	0.334618	0.502034	220.857319	56.202624	7.807538	0.083926	0.171924	0.258125	0.099999	0.199081	0.299079	29.9412	9.380400	20.560800
Cliq_2	20.000000	4000	True	PR	3HopRnd	False	0.013541	0.004599	0.052210	0.056362	0.000617	0.013747	0.010030	28.360251	56.716702	14.923048	0.283642	0.567284	0.149074	236.242656	21.204911	7.646981	0.145762	0.291504	0.076699	0.200000	0.399999	0.599999	18.9005	9.412500	9.488000
Rep_2	20.000000	4000	True	PR	3HopRnd	False	0.013611	0.004607	0.153454	0.056388	0.000721	0.000002	0.044287	34.469064	0.000000	65.530936	0.344749	0.000000	0.655251	245.684704	0.000000	7.604208	0.177139	0.000000	0.336768	0.200000	0.000000	0.200000	35.8139	9.416900	26.397000
Coll_2	20.000000	4000	True	PR	3HopRnd	False	0.013562	0.004598	0.042266	0.056414	0.000578	0.004693	0.009724	26.334993	58.680780	14.984227	0.263405	0.586878	0.149717	234.138462	64.255856	7.918753	0.135332	0.301553	0.077002	0.199917	0.399665	0.599582	17.2481	9.421000	7.827100
Cliq_2	30.000000	4000	True	PR	3HopRnd	False	0.013562	0.004599	0.022670	0.056128	0.000708	0.016030	0.000492	33.078107	66.156214	0.765679	0.330804	0.661607	0.007589	240.140581	21.212668	7.999079	0.170020	0.340039	0.003936	0.300000	0.599999	0.899999	13.9281	9.373400	4.554700
Rep_2	30.000000	4000	True	PR	3HopRnd	False	0.013561	0.004607	0.116981	0.056323	0.001006	0.000003	0.033247	49.993350	0.000000	50.006650	0.500021	0.000000	0.499979	255.410894	0.000000	7.730373	0.256943	0.000000	0.257012	0.300000	0.000000	0.300000	29.7119	9.405900	20.306000
Coll_2	30.000000	4000	True	PR	3HopRnd	False	0.013540	0.004597	0.020164	0.056206	0.000709	0.004811	0.003111	33.024228	62.021853	4.953919	0.330240	0.620304	0.049456	239.374890	66.252387	8.183537	0.169717	0.318740	0.025459	0.299502	0.520319	0.819821	13.5223	9.386400	4.135900
Cliq_2	40.000000	4000	True	PR	3HopRnd	False	0.013522	0.004604	0.021215	0.056101	0.000712	0.016148	0.000001	33.333333	66.666667	0.000000	0.333333	0.666667	0.000000	240.615673	21.218524	0.000000	0.171318	0.342637	0.000000	0.333333	0.666667	1.000000	13.6814	9.368800	4.312600
Rep_2	40.000000	4000	True	PR	3HopRnd	False	0.013514	0.004609	0.087820	0.056393	0.001252	0.000002	0.024524	63.903616	0.000000	36.096384	0.639094	0.000000	0.360906	262.299071	0.000000	7.563939	0.328398	0.000000	0.185498	0.400000	0.000000	0.400000	24.8543	9.417700	15.436600
Coll_2	40.000000	4000	True	PR	3HopRnd	False	0.013531	0.004603	0.009313	0.056358	0.000867	0.004053	0.000052	41.778041	58.165650	0.056309	0.417770	0.581685	0.000545	247.659012	73.759021	5.565423	0.214720	0.298945	0.000289	0.399749	0.564310	0.964058	11.7368	9.411800	2.325000
Cliq_2	50.000000	4000	True	PR	3HopRnd	False	0.013520	0.004593	0.021191	0.056044	0.000713	0.016148	0.000001	33.333333	66.666667	0.000000	0.333333	0.666667	0.000000	240.291900	21.219733	0.000000	0.171328	0.342656	0.000000	0.333333	0.666667	1.000000	13.6661	9.359300	4.306800
Rep_2	50.000000	4000	True	PR	3HopRnd	False	0.013522	0.004599	0.059837	0.056665	0.001460	0.000003	0.016025	75.733967	0.000000	24.266033	0.757464	0.000000	0.242536	266.581496	0.000000	7.782030	0.389209	0.000000	0.124707	0.500000	0.000000	0.500000	20.2246	9.463000	10.761600
Coll_2	50.000000	4000	True	PR	3HopRnd	False	0.013546	0.004597	0.008499	0.056231	0.001182	0.002856	0.000036	59.826268	40.142130	0.031603	0.598328	0.401367	0.000305	260.130540	72.236903	4.511674	0.307474	0.206309	0.000162	0.499930	0.468891	0.968821	11.5785	9.390600	2.187900
Cliq_2	60.000000	4000	True	PR	3HopRnd	False	0.013537	0.004596	0.021246	0.056116	0.000712	0.016153	0.000001	33.333333	66.666667	0.000000	0.333333	0.666667	0.000000	240.588242	21.209537	0.000000	0.171299	0.342598	0.000000	0.333333	0.666667	1.000000	13.6879	9.371400	4.316500
Rep_2	60.000000	4000	True	PR	3HopRnd	False	0.013550	0.004602	0.038799	0.056803	0.001625	0.000002	0.009772	85.082852	0.000000	14.917148	0.850915	0.000000	0.149085	269.074519	0.000000	7.844879	0.437246	0.000000	0.076660	0.600000	0.000000	0.600000	16.7351	9.486200	7.248900
Coll_2	60.000000	4000	True	PR	3HopRnd	False	0.013528	0.004581	0.007682	0.056410	0.001430	0.001815	0.000033	74.172746	25.800566	0.026688	0.741761	0.257981	0.000258	266.532978	73.045799	4.155708	0.381142	0.132578	0.000137	0.599574	0.370404	0.969977	11.4691	9.420500	2.048600
Cliq_2	70.000000	4000	True	PR	3HopRnd	False	0.013531	0.004592	0.021186	0.056096	0.000712	0.016146	0.000001	33.332067	66.667933	0.000000	0.333333	0.666667	0.000000	240.588242	21.219942	0.000000	0.171299	0.342617	0.000000	0.333333	0.666667	1.000000	13.6739	9.368100	4.305800
Rep_2	70.000000	4000	True	PR	3HopRnd	False	0.013566	0.004621	0.023963	0.056459	0.001751	0.000003	0.005324	91.943911	0.000000	8.056089	0.919563	0.000000	0.080437	269.884843	0.000000	7.777282	0.472568	0.000000	0.041406	0.700000	0.000000	0.700000	14.2031	9.428700	4.774400
Coll_2	70.000000	4000	True	PR	3HopRnd	False	0.013520	0.004599	0.007051	0.056391	0.001632	0.001016	0.000028	85.745706	14.237121	0.017173	0.857489	0.142345	0.000166	270.002554	72.011873	3.151894	0.440644	0.073164	0.000088	0.693041	0.279569	0.972610	11.3637	9.417300	1.946400
Cliq_2	80.000000	4000	True	PR	3HopRnd	False	0.013534	0.004590	0.021255	0.056118	0.000712	0.016144	0.000001	33.333967	66.666033	0.000000	0.333333	0.666667	0.000000	240.588242	21.220756	0.000000	0.171299	0.342588	0.000000	0.333333	0.666667	1.000000	13.6886	9.371600	4.317000
Rep_2	80.000000	4000	True	PR	3HopRnd	False	0.013547	0.004599	0.013483	0.056478	0.001835	0.000002	0.002189	96.595098	0.000000	3.404902	0.966066	0.000000	0.033934	270.553048	0.000000	7.994518	0.496465	0.000000	0.017500	0.800000	0.000000	0.800000	12.4523	9.431800	3.020500
Coll_2	80.000000	4000	True	PR	3HopRnd	False	0.013528	0.004591	0.006731	0.056315	0.001778	0.000467	0.000022	93.754485	6.236580	0.008935	0.937603	0.062310	0.000087	270.989491	68.631223	2.087246	0.481819	0.032051	0.000046	0.799944	0.176416	0.976360	11.2963	9.404700	1.891600
Cliq_2	90.000000	4000	True	PR	3HopRnd	False	0.013566	0.004581	0.021248	0.056252	0.000712	0.016144	0.000001	33.332700	66.667300	0.000000	0.333333	0.666667	0.000000	240.588242	21.221966	0.000000	0.171299	0.342607	0.000000	0.333333	0.666667	1.000000	13.7083	9.394100	4.314200
Rep_2	90.000000	4000	True	PR	3HopRnd	False	0.013540	0.004592	0.007774	0.056555	0.001886	0.000002	0.000486	99.234306	0.000000	0.765694	0.992404	0.000000	0.007596	270.439463	0.000000	8.097833	0.510049	0.000000	0.003936	0.900000	0.000000	0.900000	11.5108	9.444800	2.066000
Coll_2	90.000000	4000	True	PR	3HopRnd	False	0.013560	0.004592	0.006371	0.056445	0.001871	0.000120	0.000020	98.806128	1.187648	0.006224	0.988121	0.011824	0.000055	271.395251	50.862630	1.599312	0.507781	0.006104	0.000032	0.899986	0.080086	0.980072	11.2578	9.426300	1.831500
Cliq_2	100.000000	4000	True	PR	3HopRnd	False	0.013552	0.004601	0.001928	0.059995	0.001901	0.000000	0.000000	0.000000	0.000000	100.000000	0.333333	0.666667	0.000000	0.000000	nan	nan	0.000000	0.000000	0.514004	1.000000	0	1.000000	11.1105	10.019300	1.091200
Rep_2	100.000000	4000	True	PR	3HopRnd	False	0.013558	0.004601	0.001928	0.059994	0.001901	0.000000	0.000000	0.000000	0.000000	100.000000	1.000000	0.000000	0.000000	0.000000	nan	nan	0.000000	0.000000	0.513887	1.000000	0	1.000000	11.1103	10.019000	1.091300
Coll_2	100.000000	4000	True	PR	3HopRnd	False	0.013515	0.004594	0.001930	0.059936	0.001902	0.000000	0.000000	0.000000	0.000000	100.000000	1.000000	0.000000	0.000000	0.000000	nan	nan	0.000000	0.000000	0.514004	1.000000	0	1.000000	11.0998	10.009300	1.090500
Cliq_2	0	4000	True	TW	3HopRnd	False	0.009399	0.003264	0.130910	0.161009	0	0	0.130910	0.000000	0.000000	100.000000	None	None	None	nan	nan	10.388817	0.000000	0.000000	1.360000	0	0	0	49.2963	26.888500	22.407800
Rep_2	0	4000	True	TW	3HopRnd	False	0.009413	0.003252	0.131276	0.160550	0	0	0.131276	0.000000	0.000000	100.000000	None	None	None	nan	nan	10.359853	0.000000	0.000000	1.360000	0	0	0	49.2790	26.812000	22.467000
Coll_2	0	4000	True	TW	3HopRnd	False	0.009446	0.003247	0.130850	0.161349	0	0	0.130850	0.000000	0.000000	100.000000	None	None	None	nan	nan	10.393580	0.000000	0.000000	1.360000	0	0	0	49.3403	26.945300	22.395000
Cliq_2	1.000000	4000	True	TW	3HopRnd	False	0.009407	0.003252	0.140653	0.052091	0.000757	0.017688	0.065772	16.462977	33.367561	50.169462	0.166564	0.333128	0.500309	295.768143	25.655746	10.373787	0.223896	0.453799	0.682305	0.010000	0.020000	0.030000	32.7323	8.699300	24.033000
Rep_2	1.000000	4000	True	TW	3HopRnd	False	0.009432	0.003276	0.181818	0.052201	0.001145	0.000002	0.097782	25.000000	0.000000	75.000000	0.253491	0.000000	0.746509	296.943231	0.000000	10.431368	0.340000	0.000000	1.020000	0.010000	0.000000	0.010000	39.6291	8.717600	30.911500
Coll_2	1.000000	4000	True	TW	3HopRnd	False	0.009447	0.003266	0.128933	0.052189	0.000652	0.005799	0.065941	14.063218	35.660329	50.276453	0.142762	0.355975	0.501263	293.343199	83.631741	10.369266	0.191260	0.484980	0.683760	0.009989	0.019985	0.029974	30.7937	8.715600	22.078100
Cliq_2	2.000000	4000	True	TW	3HopRnd	False	0.009438	0.003246	0.108915	0.051937	0.000992	0.023297	0.044798	21.775190	43.971163	34.253648	0.219590	0.439179	0.341231	298.530825	25.668876	10.398893	0.296143	0.598008	0.465850	0.020000	0.040000	0.060000	27.4051	8.673400	18.731700
Rep_2	2.000000	4000	True	TW	3HopRnd	False	0.009435	0.003258	0.146686	0.052143	0.001807	0.000003	0.078300	40.273150	0.000000	59.726850	0.404176	0.000000	0.595824	303.107274	0.000000	10.374012	0.547715	0.000000	0.812285	0.020000	0.000000	0.020000	33.7496	8.708000	25.041600
Coll_2	2.000000	4000	True	TW	3HopRnd	False	0.009426	0.003261	0.093253	0.052370	0.000860	0.007507	0.044995	18.818934	46.806066	34.375000	0.189785	0.467633	0.342583	297.601744	84.795857	10.390043	0.255938	0.636563	0.467500	0.019985	0.039872	0.059857	24.8644	8.745800	16.118600
Cliq_2	3.000000	4000	True	TW	3HopRnd	False	0.009417	0.003257	0.091842	0.052103	0.001118	0.026296	0.033811	24.577062	49.640252	25.782686	0.247901	0.495803	0.256296	298.969630	25.673388	10.370723	0.334248	0.675107	0.350645	0.030000	0.060000	0.090000	24.5836	8.701200	15.882400
Rep_2	3.000000	4000	True	TW	3HopRnd	False	0.009462	0.003260	0.124533	0.052323	0.002222	0.000003	0.065650	49.841309	0.000000	50.158691	0.499669	0.000000	0.500331	305.059315	0.000000	10.390833	0.677842	0.000000	0.682158	0.030000	0.000000	0.030000	30.0800	8.737800	21.342200
Coll_2	3.000000	4000	True	TW	3HopRnd	False	0.009412	0.003270	0.073969	0.052175	0.001023	0.007949	0.034144	22.450167	51.515826	26.034007	0.226573	0.514605	0.258822	298.457738	88.138789	10.369684	0.305322	0.700615	0.354063	0.029801	0.059164	0.088965	21.6129	8.713200	12.899700
Cliq_2	4.000000	4000	True	TW	3HopRnd	False	0.009441	0.003264	0.080989	0.052037	0.001196	0.028201	0.026641	26.433249	53.238454	20.328297	0.266098	0.532197	0.201705	300.578752	25.674372	10.377420	0.359492	0.724043	0.276465	0.040000	0.080000	0.120000	22.7612	8.690200	14.071000
Rep_2	4.000000	4000	True	TW	3HopRnd	False	0.009468	0.003261	0.108717	0.052203	0.002512	0.000002	0.056923	56.573845	0.000000	43.426155	0.567099	0.000000	0.432901	306.291519	0.000000	10.375344	0.769404	0.000000	0.590596	0.040000	0.000000	0.040000	27.4190	8.717900	18.701100
Coll_2	4.000000	4000	True	TW	3HopRnd	False	0.009387	0.003255	0.061937	0.052236	0.001059	0.008403	0.027138	23.265165	56.021657	20.713178	0.234646	0.559808	0.205545	298.778329	90.669348	10.380250	0.316406	0.761895	0.281699	0.039912	0.077749	0.117661	19.6113	8.723400	10.887900
Cliq_2	6.000000	4000	True	TW	3HopRnd	False	0.009414	0.003244	0.067606	0.052004	0.001295	0.030560	0.017911	28.651338	57.699046	13.649615	0.288457	0.576914	0.134628	300.894365	25.677586	10.364288	0.389658	0.784707	0.185635	0.060000	0.120000	0.180000	20.5174	8.684600	11.832800
Rep_2	6.000000	4000	True	TW	3HopRnd	False	0.009388	0.003248	0.087495	0.052327	0.002906	0.000002	0.044816	65.760713	0.000000	34.239287	0.658772	0.000000	0.341228	307.758329	0.000000	10.390358	0.894346	0.000000	0.465654	0.060000	0.000000	0.060000	23.8934	8.738500	15.154900
Coll_2	6.000000	4000	True	TW	3HopRnd	False	0.009393	0.003257	0.046616	0.052473	0.001108	0.009293	0.018159	24.393239	61.769732	13.837029	0.245906	0.617510	0.136585	299.411595	90.397973	10.363103	0.331748	0.840068	0.188184	0.059469	0.118253	0.177722	17.0926	8.763000	8.329600
Cliq_2	8.000000	4000	True	TW	3HopRnd	False	0.009407	0.003250	0.059728	0.051932	0.001353	0.031948	0.012758	29.953901	60.324994	9.721105	0.301669	0.603339	0.094992	301.088726	25.679852	10.362677	0.407373	0.820420	0.132207	0.080000	0.160000	0.240000	19.1908	8.672600	10.518200
Rep_2	8.000000	4000	True	TW	3HopRnd	False	0.009431	0.003255	0.073262	0.052292	0.003171	0.000003	0.036864	71.859203	0.000000	28.140797	0.719886	0.000000	0.280114	308.194625	0.000000	10.381805	0.977285	0.000000	0.382715	0.080000	0.000000	0.080000	21.5121	8.732900	12.779200
Coll_2	8.000000	4000	True	TW	3HopRnd	False	0.009426	0.003250	0.038435	0.052429	0.001775	0.007406	0.014320	39.624023	49.462891	10.913086	0.398088	0.494829	0.107083	303.598151	90.831125	10.364383	0.538887	0.672695	0.148418	0.079508	0.139440	0.218948	15.7179	8.755700	6.962200
Cliq_2	10.000000	4000	True	TW	3HopRnd	False	0.009407	0.003252	0.054622	0.052017	0.001397	0.032876	0.009377	30.797622	62.059829	7.142549	0.310358	0.620716	0.068926	299.819367	25.672639	10.359248	0.418848	0.844014	0.097139	0.100000	0.200000	0.300000	18.3526	8.686800	9.665800
Rep_2	10.000000	4000	True	TW	3HopRnd	False	0.009431	0.003248	0.062985	0.052269	0.003361	0.000002	0.031064	76.291791	0.000000	23.708209	0.764297	0.000000	0.235703	308.708230	0.000000	10.379592	1.037568	0.000000	0.322432	0.100000	0.000000	0.100000	19.7906	8.728900	11.061700
Coll_2	10.000000	4000	True	TW	3HopRnd	False	0.009392	0.003255	0.031929	0.052284	0.002231	0.006184	0.011118	50.164436	41.361730	8.473834	0.503490	0.414084	0.082426	305.798444	90.963702	10.365546	0.682236	0.562520	0.115244	0.099913	0.166299	0.266212	14.6079	8.731400	5.876500
Cliq_2	15.000000	4000	True	TW	3HopRnd	False	0.009425	0.003248	0.047266	0.052048	0.001446	0.034140	0.004596	32.044175	64.466050	3.489775	0.322760	0.645520	0.031721	301.383666	25.680676	10.326575	0.435801	0.876738	0.047461	0.150000	0.300000	0.450000	17.1286	8.691900	8.436700
Rep_2	15.000000	4000	True	TW	3HopRnd	False	0.009395	0.003258	0.046134	0.052580	0.003675	0.000003	0.021646	83.497530	0.000000	16.502470	0.836751	0.000000	0.163249	308.997662	0.000000	10.368363	1.135566	0.000000	0.224434	0.150000	0.000000	0.150000	17.0302	8.780800	8.249400
Coll_2	15.000000	4000	True	TW	3HopRnd	False	0.009452	0.003260	0.022325	0.052201	0.002732	0.005012	0.006205	61.814252	33.465935	4.719813	0.619813	0.335963	0.044224	307.713700	90.809401	10.344795	0.840674	0.455137	0.064189	0.149738	0.236977	0.386715	12.9911	8.717600	4.273500
Cliq_2	20.000000	4000	True	TW	3HopRnd	False	0.009439	0.003261	0.043468	0.052102	0.001476	0.034811	0.002127	32.650218	65.739890	1.609892	0.328993	0.657986	0.013022	300.842120	25.683333	10.293621	0.444043	0.894062	0.021895	0.200000	0.400000	0.600000	16.5056	8.701100	7.804500
Rep_2	20.000000	4000	True	TW	3HopRnd	False	0.009396	0.003250	0.035999	0.052411	0.003869	0.000002	0.015924	87.859030	0.000000	12.140970	0.880696	0.000000	0.119304	308.835051	0.000000	10.369077	1.194883	0.000000	0.165117	0.200000	0.000000	0.200000	15.3080	8.752700	6.555300
Coll_2	20.000000	4000	True	TW	3HopRnd	False	0.009411	0.003244	0.017072	0.052271	0.003149	0.003853	0.003666	71.401080	25.813563	2.785357	0.715778	0.259624	0.024598	308.369224	91.114574	10.333022	0.971055	0.351064	0.037881	0.199542	0.296706	0.496248	12.1228	8.729200	3.393600
Cliq_2	25.000000	4000	True	TW	3HopRnd	False	0.009427	0.003251	0.041526	0.052104	0.001493	0.035170	0.000814	32.989143	66.403378	0.607479	0.332096	0.664191	0.003713	300.503914	25.677735	10.149532	0.448652	0.903086	0.008262	0.250000	0.500000	0.750000	16.1800	8.701400	7.478600
Rep_2	25.000000	4000	True	TW	3HopRnd	False	0.009416	0.003248	0.029298	0.052313	0.004001	0.000002	0.012088	90.786564	0.000000	9.213436	0.910096	0.000000	0.089904	308.597167	0.000000	10.365878	1.234697	0.000000	0.125303	0.250000	0.000000	0.250000	14.1722	8.736400	5.435800
Coll_2	25.000000	4000	True	TW	3HopRnd	False	0.009433	0.003241	0.013930	0.052430	0.003439	0.003065	0.002151	77.972053	20.399385	1.628562	0.781691	0.205114	0.013195	308.351242	90.516033	10.296810	1.060420	0.277432	0.022148	0.250000	0.348076	0.598075	11.6242	8.755800	2.868400
Cliq_2	30.000000	4000	True	TW	3HopRnd	False	0.009410	0.003258	0.040571	0.052000	0.001502	0.035325	0.000197	33.147834	66.715016	0.137150	0.333283	0.666567	0.000150	300.140178	25.685045	9.468195	0.450811	0.907324	0.001865	0.300000	0.600000	0.900000	16.0040	8.683900	7.320100
Rep_2	30.000000	4000	True	TW	3HopRnd	False	0.009422	0.003256	0.024471	0.052277	0.004101	0.000002	0.009387	92.849552	0.000000	7.150448	0.931055	0.000000	0.068945	307.913657	0.000000	10.359656	1.262754	0.000000	0.097246	0.300000	0.000000	0.300000	13.3616	8.730400	4.631200
Coll_2	30.000000	4000	True	TW	3HopRnd	False	0.009410	0.003240	0.011872	0.052338	0.003606	0.002630	0.001217	81.710995	17.374196	0.914809	0.819024	0.174517	0.006459	308.172360	89.843750	10.223013	1.111270	0.236289	0.012441	0.299353	0.394474	0.693827	11.2652	8.740600	2.524600
Cliq_2	35.000000	4000	True	TW	3HopRnd	False	0.009393	0.003252	0.040328	0.052001	0.001506	0.035368	0.000001	33.211024	66.788976	0.000000	0.333333	0.666667	0.000000	299.913626	25.682257	0.001863	0.451670	0.908330	0.000000	0.333333	0.666667	1.000000	15.9631	8.684300	7.278800
Rep_2	35.000000	4000	True	TW	3HopRnd	False	0.009409	0.003259	0.020850	0.052349	0.004176	0.000002	0.007364	94.396255	0.000000	5.603745	0.946691	0.000000	0.053310	307.420753	0.000000	10.349122	1.283789	0.000000	0.076211	0.350000	0.000000	0.350000	12.7693	8.742200	4.027100
